,w,j,k,ret,vol,sharpe
72,0.1,0.1,0.6000000000000001,1.0857533343951222,0.5978164092396288,1.676941815080353
73,0.1,0.1,0.5,1.088850345082681,0.5991139051834131,1.6784793949571672
74,0.1,0.1,0.4,1.091893585779515,0.6033220595930759,1.6718161879574187
75,0.1,0.1,0.30000000000000004,1.094796050534026,0.6106749668312668,1.6564393588668622
76,0.1,0.1,0.19999999999999996,1.0977356293822682,0.6220263203579111,1.6309368208061321
77,0.1,0.1,0.09999999999999998,1.1006145117257606,0.6390450320717324,1.5920075435490784
78,0.1,0.1,0.0,1.1034504719593983,0.66464565785064,1.5349539411098643
79,0.1,0.2,0.7,1.030613269883391,0.5926417203043168,1.5985429938967635
80,0.1,0.2,0.6,1.0667694781764516,0.5880447483973723,1.6725248900817264
81,0.1,0.2,0.49999999999999994,1.070277797568234,0.587483718610295,1.6800938754576362
82,0.1,0.2,0.3999999999999999,1.0737302280726557,0.5902369915628922,1.6781059849365878
83,0.1,0.2,0.29999999999999993,1.0770883136805383,0.5964033749794926,1.6663861328999212
84,0.1,0.2,0.19999999999999996,1.0803420884164332,0.6067657904798553,1.6432898888842953
85,0.1,0.2,0.09999999999999987,1.0835816246525738,0.6231207271896678,1.6053576474083313
86,0.1,0.30000000000000004,0.6,1.0447872403383172,0.5812030121241345,1.6543913577188243
87,0.1,0.30000000000000004,0.5,1.048925484841674,0.5776623272219613,1.6716954513646556
88,0.1,0.30000000000000004,0.39999999999999997,1.0529052525032205,0.5782116854813897,1.6769900658371073
89,0.1,0.30000000000000004,0.29999999999999993,1.0567784459120446,0.5826402790186029,1.6708910814608495
90,0.1,0.30000000000000004,0.19999999999999996,1.0606017410303439,0.5916406700047755,1.6519346802552553
91,0.1,0.30000000000000004,0.09999999999999998,1.0642412887863397,0.6070316920919127,1.6160462485998253
92,0.1,0.4,0.5,1.0236672207847537,0.57066582595354,1.6479298006208567
93,0.1,0.4,0.4,1.028476602163884,0.5676652020741257,1.6651128142261153
94,0.1,0.4,0.3,1.033044055350064,0.5694751088217457,1.6678412113835932
95,0.1,0.4,0.19999999999999996,1.0375496556557007,0.5764677778007182,1.6554258406193119
96,0.1,0.4,0.09999999999999998,1.0419137920591033,0.5904937360992321,1.6234952776840303
97,0.1,0.4,0.0,1.046107842903797,0.6158142743899597,1.563552328918694
98,0.1,0.5,0.4,0.9987404613370467,0.5597013168454772,1.635676804365633
99,0.1,0.5,0.30000000000000004,1.0044474044705902,0.5571720806777541,1.6533445167425278
100,0.1,0.5,0.2,1.0099281663455448,0.5610878147573973,1.6515742134699916
